game_id,patch,league,team1,team2,winner,team1_picks,team2_picks,team1_bans,team2_bans
LOLTMNT02_260166,15.09,LCKC,Blue,Red,Red,"['Azir', ""K'Sante"", 'Lillia', 'Sivir', 'Rakan']","['Jayce', 'Sejuani', 'Orianna', 'Ezreal', 'Nautilus']","['Poppy', 'Nocturne', 'Gwen', 'Alistar', 'Xayah']","['Vi', 'Neeko', 'Taliyah', ""Kai'Sa"", 'Ashe']"
LOLTMNT02_259180,15.09,LCKC,Blue,Red,Blue,"['Azir', 'Skarner', 'Jayce', 'Alistar', 'Xayah']","['Yone', 'Sejuani', 'Sion', 'Rakan', 'Zeri']","['Pantheon', 'Kalista', 'Viktor', ""Kai'Sa"", 'Ashe']","['Vi', 'Varus', 'Xin Zhao', 'Ezreal', 'Nautilus']"
LOLTMNT02_259181,15.09,LCKC,Blue,Red,Red,"['Gwen', 'Taliyah', 'Skarner', 'Jinx', 'Nautilus']","['Pantheon', 'Ambessa', 'Xayah', 'Zoe', 'Leona']","['Varus', 'Wukong', 'Lillia', 'Rakan', 'Elise']","['Vi', ""K'Sante"", 'Xin Zhao', 'Lucian', 'Kalista']"
LOLTMNT02_260202,15.09,LCKC,Blue,Red,Blue,"['Renekton', 'Viktor', 'Nidalee', 'Ezreal', 'Karma']","['Ashe', 'Braum', 'Viego', 'Hwei', 'Gragas']","['Varus', 'Xin Zhao', 'Nocturne', ""K'Sante"", 'Sylas']","['Vi', 'Pantheon', 'Kalista', 'Neeko', 'Leona']"
LOLTMNT02_260233,15.09,LCK,Blue,Red,Blue,"['Viktor', 'Pantheon', 'Jayce', 'Xayah', 'Gragas']","['Naafiri', 'Rumble', 'Annie', 'Alistar', 'Jhin']","['Taliyah', 'Gwen', 'Kalista', 'Varus', 'Miss Fortune']","['Vi', 'Xin Zhao', 'Azir', 'Tahm Kench', 'Rakan']"
LOLTMNT02_259265,15.09,LCK,Blue,Red,Red,"['Taliyah', 'Ezreal', 'Leona', 'Viego', 'Sion']","['Ahri', 'Miss Fortune', 'Nocturne', 'Nautilus', 'Camille']","['Azir', 'Kalista', 'Varus', 'Rakan', 'Rell']","['Gwen', 'Vi', 'Xin Zhao', 'Ambessa', 'Wukong']"
12039-12039_game_1,15.09,LPL,Blue,Red,Blue,"['Taliyah', 'Xin Zhao', 'Gwen', 'Miss Fortune', 'Alistar']","['Rumble', 'Pantheon', 'Ahri', 'Nautilus', ""Kai'Sa""]","['Varus', 'Yone', 'LeBlanc', 'Ezreal', 'Ashe']","['Vi', 'Naafiri', 'Neeko', 'Rell', 'Renata Glasc']"
LOLTMNT02_259299,15.09,VCS,Blue,Red,Blue,"['Corki', 'Gwen', 'Pantheon', 'Sylas', 'Poppy']","['Rumble', 'Xin Zhao', 'Ahri', 'Lucian', 'Braum']","['Jayce', 'Jax', 'Ezreal', ""Kai'Sa"", 'Kalista']","['Varus', 'Skarner', 'Ashe', 'Taliyah', 'Galio']"
LOLTMNT02_259289,15.09,VCS,Blue,Red,Red,"['Varus', 'Nautilus', 'Naafiri', 'Ambessa', 'Ahri']","['Neeko', 'Jayce', 'Pantheon', 'Jhin', 'Sylas']","['Zyra', 'Kalista', 'Gwen', 'Ashe', 'Caitlyn']","['Skarner', 'Viego', 'Xin Zhao', 'Rumble', 'Sion']"
LOLTMNT02_260299,15.09,LCK,Blue,Red,Red,"['Azir', 'Poppy', 'Rumble', 'Zeri', 'Alistar']","['Xin Zhao', 'Jayce', 'Ahri', 'Ezreal', 'Nautilus']","['Varus', 'Taliyah', 'Viktor', 'Miss Fortune', 'Braum']","['Vi', 'Gwen', 'Sejuani', 'Kalista', 'Rakan']"
12039-12039_game_2,15.09,LPL,Blue,Red,Red,"['Vi', 'Xayah', 'Rakan', 'Ambessa', 'Orianna']","['Sion', 'Corki', 'Rell', 'Lillia', 'Jhin']","['Neeko', 'Varus', 'Naafiri', 'Azir', 'Viktor']","['Yone', 'Lucian', 'Ezreal', 'Ryze', 'Aurora']"
LOLTMNT02_259329,15.09,VCS,Blue,Red,Blue,"['Xin Zhao', 'Renekton', 'Azir', 'Lucian', 'Braum']","['Nocturne', 'Rumble', 'Orianna', ""Kai'Sa"", 'Alistar']","['Skarner', 'Viego', 'Vi', 'Rakan', 'Rell']","['Ashe', 'Sion', 'Lillia', 'Xayah', 'Kalista']"
LOLTMNT02_259331,15.09,LCK,Blue,Red,Red,"['Varus', 'Elise', 'Viktor', 'Sejuani', 'Yorick']","['Renata Glasc', 'Kalista', 'Galio', 'Pantheon', 'Camille']","['Naafiri', 'Taliyah', 'Nidalee', 'Skarner', 'Nocturne']","['Vi', 'Gwen', 'Yone', 'Sion', 'Renekton']"
LOLTMNT02_259356,15.09,VCS,Blue,Red,Blue,"['Varus', 'Wukong', 'Taliyah', 'Alistar', 'Renekton']","['Vi', 'Ezreal', 'Aurora', 'Rell', 'Sion']","['Jayce', ""Kai'Sa"", ""K'Sante"", 'Yorick', 'Rakan']","['Skarner', 'Gnar', 'Sejuani', 'Nautilus', 'Renata Glasc']"
12040-12040_game_1,15.09,LPL,Blue,Red,Blue,"['Rumble', 'Xin Zhao', 'Taliyah', 'Miss Fortune', 'Rell']","['Varus', 'Pantheon', 'Sion', 'Sylas', 'Alistar']","['Ryze', 'Annie', 'Gwen', 'Neeko', 'Viktor']","['Vi', 'Naafiri', 'Yone', 'Ezreal', 'Lucian']"
LOLTMNT02_260408,15.09,VCS,Blue,Red,Red,"['Lillia', 'Yone', 'Renekton', 'Jhin', 'Leona']","['Skarner', 'Viktor', 'Ornn', 'Lucian', 'Braum']","['Rumble', 'Gwen', 'Neeko', 'Ashe', 'Renata Glasc']","['Kindred', 'Viego', 'Varus', 'Miss Fortune', 'Tristana']"
12040-12040_game_2,15.09,LPL,Blue,Red,Blue,"['Lucian', 'Maokai', 'Milio', 'Hwei', 'Ambessa']","['Ezreal', 'Skarner', 'Karma', 'Azir', 'Renekton']","['Naafiri', 'Lillia', 'Gwen', 'Ahri', 'Jayce']","['Ryze', 'Annie', 'Vi', 'Viktor', 'Yone']"
LOLTMNT02_259431,15.09,VCS,Blue,Red,Red,"['Xin Zhao', 'Ahri', 'Sion', 'Lucian', 'Nami']","['Ambessa', 'Lee Sin', 'Ryze', 'Xayah', 'Rakan']","['Gwen', 'Pantheon', 'Varus', 'Nautilus', 'Pyke']","['Kalista', 'Annie', 'Jayce', 'Rell', 'Alistar']"
LOLTMNT02_259472,15.09,VCS,Blue,Red,Blue,"['Ashe', 'Zyra', 'Corki', 'Alistar', ""K'Sante""]","['Graves', 'Ryze', 'Ezreal', 'Rell', 'Yorick']","['Kindred', 'Tristana', 'Viego', 'Gnar', 'Nautilus']","['Varus', 'Rumble', 'Xin Zhao', 'Gwen', 'Jax']"
LOLTMNT02_259478,15.09,VCS,Blue,Red,Blue,"['Vi', 'Jayce', 'Neeko', ""Kai'Sa"", 'Sylas']","['Rumble', 'Corki', 'Lillia', 'Alistar', 'Miss Fortune']","['Gwen', 'Pantheon', 'Ashe', 'Nautilus', 'Yone']","['Kalista', 'Annie', 'Varus', 'Ezreal', 'Caitlyn']"
